strategy,threshold_scenarios,average_net_pnl,median_net_pnl,worst_net_pnl,best_net_pnl,profitable_scenario_rate,average_sharpe,worst_drawdown,average_turnover,minimum_trade_count,maximum_trade_count,cost_scenarios,worst_cost_adjusted_net_pnl,average_cost_drag,maximum_cost_drag
baseline_rule_based,81,71.44248802167256,74.03589721550766,64.64009454814214,75.65147230136792,1.0,6.953590312117573,-5.340767012741821,130.0,42.0,90.0,4,67.73589721550765,4.275000000000006,10.800000000000011
ml_filtered,81,36.06419681977796,38.59598176708416,26.761472625650217,42.83513606659949,1.0,5.8369105063363955,-1.6633402108741064,42.0,13.0,28.0,4,40.87513606659948,1.3299999999999965,3.3599999999999994
ml_probability_sized,81,29.173592913083784,30.969482603443513,22.353754939243615,34.197541196564224,1.0,5.847941339393262,-1.1035752815012003,32.65538509687174,13.0,28.0,4,32.70477161423278,1.0129507880106239,2.5590335697110476
